accuracy,loss,val_accuracy,val_loss,learning_rate
0.3012402057647705,1.7442049980163574,0.4575163424015045,1.3934005498886108,9.999999747378752e-05
0.4614882469177246,1.3810234069824219,0.5385621190071106,1.203386664390564,9.999999747378752e-05
0.522519588470459,1.2348241806030273,0.572549045085907,1.1056575775146484,9.999999747378752e-05
0.5731070637702942,1.1321731805801392,0.6222222447395325,1.0203096866607666,9.999999747378752e-05
0.6005222201347351,1.0588442087173462,0.6392157077789307,0.9721071720123291,9.999999747378752e-05
0.6210835576057434,1.0005404949188232,0.6366013288497925,0.9297317266464233,9.999999747378752e-05
0.6204308271408081,0.9990066885948181,0.6836601495742798,0.8780181407928467,9.999999747378752e-05
0.6517624258995056,0.9339641332626343,0.6980392336845398,0.8502517342567444,9.999999747378752e-05
0.6605744361877441,0.9126721024513245,0.6875817179679871,0.8402717709541321,9.999999747378752e-05
0.6622062921524048,0.8968034982681274,0.7111111283302307,0.8022105097770691,9.999999747378752e-05
0.667754590511322,0.8827651143074036,0.7202614545822144,0.789035439491272,9.999999747378752e-05
0.6984333992004395,0.8309934139251709,0.7228758335113525,0.760307788848877,9.999999747378752e-05
0.6804830431938171,0.8424648642539978,0.7124183177947998,0.785385251045227,9.999999747378752e-05
0.6928851008415222,0.7983394265174866,0.729411780834198,0.7442634105682373,9.999999747378752e-05
0.6971279382705688,0.786823570728302,0.7176470756530762,0.7537028789520264,9.999999747378752e-05
0.7013707756996155,0.7674790024757385,0.7411764860153198,0.7015827894210815,9.999999747378752e-05
0.7160574197769165,0.751220703125,0.7372549176216125,0.7073088884353638,9.999999747378752e-05
0.7118146419525146,0.7744282484054565,0.7633987069129944,0.6943382620811462,9.999999747378752e-05
0.7160574197769165,0.7530441880226135,0.7450980544090271,0.692301332950592,9.999999747378752e-05
0.7222585082054138,0.7411598563194275,0.7490196228027344,0.6715661287307739,9.999999747378752e-05
0.732375979423523,0.7110062837600708,0.7620915174484253,0.6647799015045166,9.999999747378752e-05
0.7304177284240723,0.7151265144348145,0.7633987069129944,0.6566042304039001,9.999999747378752e-05
0.7346605658531189,0.7011328339576721,0.772549033164978,0.6417346596717834,9.999999747378752e-05
0.7421671152114868,0.6914395689964294,0.7686274647712708,0.625427782535553,9.999999747378752e-05
0.7444517016410828,0.6790277361869812,0.7751634120941162,0.6376203894615173,9.999999747378752e-05
0.7460835576057434,0.6809493899345398,0.7777777910232544,0.6181322932243347,9.999999747378752e-05
0.7382506728172302,0.6696597933769226,0.7764706015586853,0.6282941699028015,9.999999747378752e-05
0.7571801543235779,0.6570122241973877,0.7816993594169617,0.60427325963974,9.999999747378752e-05
0.7620757222175598,0.6552207469940186,0.7803921699523926,0.6131154298782349,9.999999747378752e-05
0.7542428374290466,0.64631587266922,0.785620927810669,0.6080151200294495,9.999999747378752e-05
0.7650130391120911,0.6346160173416138,0.7908496856689453,0.6045940518379211,4.999999873689376e-05
0.7614229917526245,0.6246741414070129,0.785620927810669,0.5931358337402344,4.999999873689376e-05
0.7620757222175598,0.6312066912651062,0.7803921699523926,0.6010656952857971,4.999999873689376e-05
0.7692558765411377,0.6160429120063782,0.785620927810669,0.5982020497322083,4.999999873689376e-05
0.767624020576477,0.6064609289169312,0.7908496856689453,0.5858487486839294,2.499999936844688e-05
0.7692558765411377,0.6165802478790283,0.7843137383460999,0.5811576247215271,2.499999936844688e-05
0.7718668580055237,0.6153255701065063,0.7895424962043762,0.5805198550224304,2.499999936844688e-05
0.7748041749000549,0.6163666844367981,0.7895424962043762,0.5804469585418701,2.499999936844688e-05
0.7728459239006042,0.6198532581329346,0.7921568751335144,0.5806768536567688,2.499999936844688e-05
0.772519588470459,0.6072802543640137,0.7895424962043762,0.5787060856819153,1.249999968422344e-05
0.7787206172943115,0.5974178314208984,0.7895424962043762,0.5798197984695435,1.249999968422344e-05
0.7705613374710083,0.6136582493782043,0.7921568751335144,0.572719931602478,1.249999968422344e-05
0.7734987139701843,0.6080836057662964,0.7908496856689453,0.5767101049423218,1.249999968422344e-05
0.7738250494003296,0.5965311527252197,0.7934640645980835,0.5696165561676025,1.249999968422344e-05
0.7777414917945862,0.6046348810195923,0.7934640645980835,0.5688701272010803,1.249999968422344e-05
0.7793733477592468,0.6038092970848083,0.7921568751335144,0.5738775134086609,1.249999968422344e-05
0.7708877325057983,0.6108025908470154,0.7921568751335144,0.573303759098053,1.249999968422344e-05
0.7708877325057983,0.6197687983512878,0.7908496856689453,0.5732911229133606,6.24999984211172e-06
0.7803524732589722,0.5880475640296936,0.7908496856689453,0.5737762451171875,6.24999984211172e-06
0.767297625541687,0.6129364371299744,0.7895424962043762,0.5742686986923218,3.12499992105586e-06
